set_id,question_number,question_text,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,quiz_type,difficulty,explanation,improvement_note,notation_data
"gen-indian-carnatic-theory-014","14","How many swarasthanas (semitonal positions) are there in one octave in Carnatic music?","16","12","7","22","Carnatic Theory","indian_classical","beginner","There are 16 swarasthanas in Carnatic music: Sa (1), Ri (3), Ga (3), Ma (2), Pa (1), Da (3), Ni (3). Some positions overlap (e.g., Ri3 = Ga2).","",""
"gen-indian-carnatic-theory-015","15","In Carnatic music, what does the term ""Arohana"" refer to?","Ascending scale pattern of a raga","Systematic permutation and combination of swaras","Descending scale pattern of a raga","The starting note of a raga composition","Carnatic Theory","indian_classical","beginner","Arohana means: Ascending scale pattern of a raga.","",""
"gen-indian-carnatic-theory-016","16","In Carnatic music, what does the term ""Avarohana"" refer to?","Descending scale pattern of a raga","The most prominent or sonant note in a raga","The tonic note (Sa), the fundamental pitch reference","Progressive melodic variation of a line in a kriti","Carnatic Theory","indian_classical","beginner","Avarohana means: Descending scale pattern of a raga.","",""
"gen-indian-carnatic-theory-017","17","In Carnatic music, what does the term ""Shadja"" refer to?","The tonic note (Sa), the fundamental pitch reference","Systematic permutation and combination of swaras","Ascending scale pattern of a raga","Descending scale pattern of a raga","Carnatic Theory","indian_classical","beginner","Shadja means: The tonic note (Sa), the fundamental pitch reference.","",""
"gen-indian-carnatic-theory-018","18","In Carnatic music, what does the term ""Panchama"" refer to?","The fifth note (Pa), a fixed swara like Sa","Ascending scale pattern of a raga","Raga elaboration without rhythmic accompaniment","Improvised swara passages sung to a tala cycle","Carnatic Theory","indian_classical","beginner","Panchama means: The fifth note (Pa), a fixed swara like Sa.","",""
"gen-indian-carnatic-theory-019","19","In Carnatic music, what does the term ""Alapana"" refer to?","Raga elaboration without rhythmic accompaniment","The most prominent or sonant note in a raga","The fifth note (Pa), a fixed swara like Sa","The starting note of a raga composition","Carnatic Theory","indian_classical","beginner","Alapana means: Raga elaboration without rhythmic accompaniment.","",""
"gen-indian-carnatic-theory-020","20","How many variants does the swara Ri have in Carnatic music?","3","1","5","2","Carnatic Theory","indian_classical","intermediate","Ri has 3 variant(s): Ri1 (Shuddha Rishabham), Ri2 (Chatushruti Rishabham), Ri3 (Shatshruti Rishabham).","",""
"gen-indian-carnatic-theory-021","21","How many variants does the swara Ga have in Carnatic music?","3","1","2","4","Carnatic Theory","indian_classical","intermediate","Ga has 3 variant(s): Ga1 (Shuddha Gandharam), Ga2 (Sadharana Gandharam), Ga3 (Antara Gandharam).","",""
"gen-indian-carnatic-theory-022","22","How many variants does the swara Ma have in Carnatic music?","2","1","5","3","Carnatic Theory","indian_classical","intermediate","Ma has 2 variant(s): Ma1 (Shuddha Madhyamam), Ma2 (Prati Madhyamam).","",""
"gen-indian-carnatic-theory-023","23","How many variants does the swara Da have in Carnatic music?","3","5","4","2","Carnatic Theory","indian_classical","intermediate","Da has 3 variant(s): Da1 (Shuddha Dhaivatam), Da2 (Chatushruti Dhaivatam), Da3 (Shatshruti Dhaivatam).","",""
"gen-indian-carnatic-theory-024","24","How many variants does the swara Ni have in Carnatic music?","3","4","1","2","Carnatic Theory","indian_classical","intermediate","Ni has 3 variant(s): Ni1 (Shuddha Nishadam), Ni2 (Kaisiki Nishadam), Ni3 (Kakali Nishadam).","",""
"gen-indian-carnatic-theory-025","25","Which gamaka (ornament) in Carnatic music is described as: ""Oscillation between two adjacent notes""?","Kampita","Spurita","Orikkai","Ravai","Carnatic Theory","indian_classical","intermediate","Kampita is the gamaka described as: Oscillation between two adjacent notes.","",""
"gen-indian-carnatic-theory-026","26","Which gamaka (ornament) in Carnatic music is described as: ""Repetition of a note pair""?","Janta","Nokku","Odukkal","Ravai","Carnatic Theory","indian_classical","intermediate","Janta is the gamaka described as: Repetition of a note pair.","",""
"gen-indian-carnatic-theory-027","27","Which gamaka (ornament) in Carnatic music is described as: ""A stress or emphasis on a note with a preceding grace note""?","Spurita","Kampita","Janta","Tribhinna","Carnatic Theory","indian_classical","intermediate","Spurita is the gamaka described as: A stress or emphasis on a note with a preceding grace note.","",""
"gen-indian-carnatic-theory-028","28","Which gamaka (ornament) in Carnatic music is described as: ""Forceful rendering of a note from a higher note""?","Nokku","Tiruppam","Khandippu","Kampita","Carnatic Theory","indian_classical","intermediate","Nokku is the gamaka described as: Forceful rendering of a note from a higher note.","",""
"gen-indian-carnatic-theory-029","29","Which gamaka (ornament) in Carnatic music is described as: ""Deflection or sliding away from a note""?","Odukkal","Pratyahata","Nokku","Tiruppam","Carnatic Theory","indian_classical","intermediate","Odukkal is the gamaka described as: Deflection or sliding away from a note.","",""
"gen-indian-carnatic-theory-030","30","Which gamaka (ornament) in Carnatic music is described as: ""A shake or turn around a note""?","Orikkai","Tiruppam","Khandippu","Ravai","Carnatic Theory","indian_classical","intermediate","Orikkai is the gamaka described as: A shake or turn around a note.","",""
"gen-indian-carnatic-theory-031","31","Which gamaka (ornament) in Carnatic music is described as: ""Sustained rendering of a note""?","Ravai","Odukkal","Nokku","Spurita","Carnatic Theory","indian_classical","intermediate","Ravai is the gamaka described as: Sustained rendering of a note.","",""
"gen-indian-carnatic-theory-032","32","Which gamaka (ornament) in Carnatic music is described as: ""A sharp, staccato rendering of notes""?","Khandippu","Ravai","Nokku","Odukkal","Carnatic Theory","indian_classical","intermediate","Khandippu is the gamaka described as: A sharp, staccato rendering of notes.","",""
"gen-indian-carnatic-theory-033","33","What is the meaning of ""Vadi"" in Carnatic music?","The most prominent or sonant note in a raga","Improvisation on a single line of a composition with different swara patterns","Descending scale pattern of a raga","Systematic permutation and combination of swaras","Carnatic Theory","indian_classical","intermediate","Vadi: The most prominent or sonant note in a raga.","",""
"gen-indian-carnatic-theory-034","34","What is the meaning of ""Samvadi"" in Carnatic music?","The second most important note, consonant with the vadi","Raga elaboration without rhythmic accompaniment","The note that is most frequently used and emphasized in a raga","Descending scale pattern of a raga","Carnatic Theory","indian_classical","intermediate","Samvadi: The second most important note, consonant with the vadi.","",""
"gen-indian-carnatic-theory-035","35","What is the meaning of ""Graha Swara"" in Carnatic music?","The starting note of a raga composition","Dissonant or inimical swara that is generally avoided in a raga","The second most important note, consonant with the vadi","Systematic permutation and combination of swaras","Carnatic Theory","indian_classical","intermediate","Graha Swara: The starting note of a raga composition.","",""
"gen-indian-carnatic-theory-036","36","What is the meaning of ""Nyasa Swara"" in Carnatic music?","The resting or concluding note of a raga phrase","Improvisation on a single line of a composition with different swara patterns","The most prominent or sonant note in a raga","The second most important note, consonant with the vadi","Carnatic Theory","indian_classical","intermediate","Nyasa Swara: The resting or concluding note of a raga phrase.","",""
"gen-indian-carnatic-theory-037","37","What is the meaning of ""Jiva Swara"" in Carnatic music?","The life-giving or characteristic note of a raga","The starting note of a raga composition","The note that is most frequently used and emphasized in a raga","Systematic permutation and combination of swaras","Carnatic Theory","indian_classical","intermediate","Jiva Swara: The life-giving or characteristic note of a raga.","",""
"gen-indian-carnatic-theory-038","38","What is the meaning of ""Neraval"" in Carnatic music?","Improvisation on a single line of a composition with different swara patterns","Ascending scale pattern of a raga","Raga elaboration without rhythmic accompaniment","The second most important note, consonant with the vadi","Carnatic Theory","indian_classical","intermediate","Neraval: Improvisation on a single line of a composition with different swara patterns.","",""
"gen-indian-carnatic-theory-039","39","What is the meaning of ""Kalpanaswaram"" in Carnatic music?","Improvised swara passages sung to a tala cycle","The second most important note, consonant with the vadi","Microtonal interval, the smallest audible pitch difference in Indian music","The tonic note (Sa), the fundamental pitch reference","Carnatic Theory","indian_classical","intermediate","Kalpanaswaram: Improvised swara passages sung to a tala cycle.","",""
"gen-indian-carnatic-theory-040","40","What is the meaning of ""Sangati"" in Carnatic music?","Progressive melodic variation of a line in a kriti","Microtonal interval, the smallest audible pitch difference in Indian music","Improvised swara passages sung to a tala cycle","The tonic note (Sa), the fundamental pitch reference","Carnatic Theory","indian_classical","intermediate","Sangati: Progressive melodic variation of a line in a kriti.","",""
"gen-indian-carnatic-theory-041","41","According to ancient Indian music theory, how many shrutis (microtonal intervals) exist within one octave?","22","12","16","7","Carnatic Theory","indian_classical","advanced","Indian music theory recognizes 22 shrutis per octave, as described in the Natyashastra. This is distinct from the 12 semitones of Western music.","",""
"gen-indian-carnatic-theory-042","42","Which ancient text first codified the 22 shrutis and their distribution among the swaras?","Natyashastra by Bharata Muni","Sangita Ratnakara by Sharangadeva","Chaturdandi Prakashika by Venkatamakhi","Swaramelakalanidhi by Ramamatya","Carnatic Theory","indian_classical","advanced","The Natyashastra (c. 200 BCE-200 CE) by Bharata Muni first described the 22-shruti system.","",""
"gen-indian-carnatic-theory-043","43","How are the 22 shrutis distributed among the 7 swaras in classical theory? Sa and Pa together have how many shrutis?","4 shrutis each (Sa=4, Pa=4)","3 shrutis each","2 shrutis each","5 shrutis each","Carnatic Theory","indian_classical","advanced","In the traditional distribution: Sa (4), Ri (3), Ga (2), Ma (4), Pa (4), Dha (3), Ni (2) = 22 shrutis total.","",""
"gen-indian-carnatic-theory-044","44","What does 'Vivadi Swara' mean in raga theory?","A dissonant or inimical swara that is generally avoided in a raga","The most prominent note of a raga","A swara that is held for a long duration","The concluding note of a raga phrase","Carnatic Theory","indian_classical","advanced","Vivadi swaras are dissonant notes. Ragas that use vivadi swaras (like some rare melakartas) are called vivadi ragas.","",""
"gen-indian-carnatic-theory-045","45","What is 'Swaraprastara' in Carnatic music theory?","Systematic permutation and combination of swaras","A type of rhythmic pattern","A devotional composition form","An ornamental technique for gamakas","Carnatic Theory","indian_classical","advanced","Swaraprastara is the mathematical method of calculating all possible permutations of swaras in a raga.","",""
"gen-indian-carnatic-theory-046","46","What is the gamaka called ""Pratyahata"" in Carnatic music?","Bouncing between notes in a specific pattern","Sustained rendering of a note","Forceful rendering of a note from a higher note","A stress or emphasis on a note with a preceding grace note","Carnatic Theory","indian_classical","advanced","Pratyahata: Bouncing between notes in a specific pattern.","",""
"gen-indian-carnatic-theory-047","47","What is the gamaka called ""Tribhinna"" in Carnatic music?","Three-fold movement around a note","A stress or emphasis on a note with a preceding grace note","A struck note that resonates naturally","Forceful rendering of a note from a higher note","Carnatic Theory","indian_classical","advanced","Tribhinna: Three-fold movement around a note.","",""
"gen-indian-carnatic-theory-048","48","What is the gamaka called ""Ahata"" in Carnatic music?","A struck note that resonates naturally","Sustained rendering of a note","Deflection or sliding away from a note","Three-fold movement around a note","Carnatic Theory","indian_classical","advanced","Ahata: A struck note that resonates naturally.","",""
"gen-indian-carnatic-theory-049","49","What is the gamaka called ""Tiruppam"" in Carnatic music?","A turning ornament, circular movement around notes","Sustained rendering of a note","A sharp, staccato rendering of notes","A struck note that resonates naturally","Carnatic Theory","indian_classical","advanced","Tiruppam: A turning ornament, circular movement around notes.","",""
"gen-indian-carnatic-theory-050","50","Which Carnatic music term is defined as: ""The note that is most frequently used and emphasized in a raga""?","Amsa Swara","Samvadi","Vivadi Swara","Kalpanaswaram","Carnatic Theory","indian_classical","advanced","The term ""Amsa Swara"" means: The note that is most frequently used and emphasized in a raga.","",""
"gen-indian-carnatic-theory-051","51","Which Carnatic music term is defined as: ""Microtonal interval, the smallest audible pitch difference in Indian music""?","Sruti","Avarohana","Vivadi Swara","Alapana","Carnatic Theory","indian_classical","advanced","The term ""Sruti"" means: Microtonal interval, the smallest audible pitch difference in Indian music.","",""
"gen-indian-carnatic-theory-052","52","Which Carnatic music term is defined as: ""Dissonant or inimical swara that is generally avoided in a raga""?","Vivadi Swara","Samvadi","Sruti","Arohana","Carnatic Theory","indian_classical","advanced","The term ""Vivadi Swara"" means: Dissonant or inimical swara that is generally avoided in a raga.","",""
"gen-indian-carnatic-theory-053","53","Which Carnatic music term is defined as: ""Systematic permutation and combination of swaras""?","Swaraprastara","Neraval","Shadja","Samvadi","Carnatic Theory","indian_classical","advanced","The term ""Swaraprastara"" means: Systematic permutation and combination of swaras.","",""
"gen-indian-carnatic-theory-054","54","What is the full Sanskrit name of the swara ""Sa""?","Shadja","Rishabha","Gandhara","Madhyama","Carnatic Theory","indian_classical","beginner","Sa is the abbreviation for Shadja.","",""
"gen-indian-carnatic-theory-055","55","What is the full Sanskrit name of the swara ""Ri""?","Rishabha","Nishada","Madhyama","Gandhara","Carnatic Theory","indian_classical","beginner","Ri is the abbreviation for Rishabha.","",""
"gen-indian-carnatic-theory-056","56","What is the full Sanskrit name of the swara ""Ga""?","Gandhara","Shadja","Panchama","Rishabha","Carnatic Theory","indian_classical","beginner","Ga is the abbreviation for Gandhara.","",""
"gen-indian-carnatic-theory-057","57","What is the full Sanskrit name of the swara ""Ma""?","Madhyama","Dhaivata","Gandhara","Nishada","Carnatic Theory","indian_classical","beginner","Ma is the abbreviation for Madhyama.","",""
"gen-indian-carnatic-theory-058","58","What is the full Sanskrit name of the swara ""Pa""?","Panchama","Rishabha","Shadja","Gandhara","Carnatic Theory","indian_classical","beginner","Pa is the abbreviation for Panchama.","",""
"gen-indian-carnatic-theory-059","59","What is the full Sanskrit name of the swara ""Da""?","Dhaivata","Shadja","Rishabha","Gandhara","Carnatic Theory","indian_classical","beginner","Da is the abbreviation for Dhaivata.","",""
"gen-indian-carnatic-theory-060","60","What is the full Sanskrit name of the swara ""Ni""?","Nishada","Dhaivata","Gandhara","Rishabha","Carnatic Theory","indian_classical","beginner","Ni is the abbreviation for Nishada.","",""
"gen-indian-carnatic-theory-061","61","What is 'Chatushruti Rishabham' in the Carnatic system?","Ri2 — the second variant of Rishabha","Ri1 — the first variant of Rishabha","Ri3 — the third variant of Rishabha","Ga2 — the second variant of Gandhara","Carnatic Theory","indian_classical","intermediate","Ri2 — the second variant of Rishabha.","",""
"gen-indian-carnatic-theory-062","62","What is 'Prati Madhyamam' (Ma2)?","The sharp/raised variant of Madhyama, a semitone higher than Shuddha Madhyamam","The natural/default Madhyama","A type of gamaka ornament","The lower octave Madhyama","Carnatic Theory","indian_classical","intermediate","The sharp/raised variant of Madhyama, a semitone higher than Shuddha Madhyamam.","",""
"gen-indian-carnatic-theory-063","63","Which swara variant is also known as 'Kakali Nishadam'?","Ni3 (the highest variant of Nishada)","Ni1 (Shuddha Nishadam)","Ni2 (Kaisiki Nishadam)","Da3 (Shatshruti Dhaivatam)","Carnatic Theory","indian_classical","intermediate","Ni3 (the highest variant of Nishada).","",""
"gen-indian-carnatic-theory-064","64","In the Carnatic system, Ri2 and Ga1 share the same swarasthana (pitch position). What does this overlap mean?","They are enharmonic — the same pitch but named differently depending on the raga context","They are always played together as a chord","One is always higher than the other","They belong to different octaves","Carnatic Theory","indian_classical","intermediate","They are enharmonic — the same pitch but named differently depending on the raga context.","",""
"gen-indian-carnatic-theory-065","65","How many swara variants does Madhyama (Ma) have?","2 (Shuddha and Prati)","3","1","4","Carnatic Theory","indian_classical","intermediate","2 (Shuddha and Prati).","",""
"gen-indian-carnatic-theory-066","66","What is the 'Katapayadi' system in Carnatic music?","A Sanskrit formula that encodes the melakarta raga number in the first two syllables of its name","A system of 72 hand gestures for keeping tala","A method of tuning the veena","A notation system for writing gamakas","Carnatic Theory","indian_classical","advanced","A Sanskrit formula that encodes the melakarta raga number in the first two syllables of its name.","",""
"gen-indian-carnatic-theory-067","67","According to the Katapayadi formula, which syllables in a melakarta name encode its number?","The first two consonants of the raga name (reversed)","The last two vowels","The middle syllable","The total number of syllables","Carnatic Theory","indian_classical","advanced","The first two consonants of the raga name (reversed).","",""
"gen-indian-carnatic-theory-068","68","What are 'Vivadi Melakartas'?","Melakartas that contain vivadi (dissonant) swaras — notes that are only a semitone apart in sequence","Melakartas that use only 5 swaras","Melakartas that were invented after the 18th century","Melakartas used only in temple music","Carnatic Theory","indian_classical","advanced","Melakartas that contain vivadi (dissonant) swaras — notes that are only a semitone apart in sequence.","",""
"gen-indian-carnatic-theory-069","69","How many of the 72 melakartas use Shuddha Madhyamam (Ma1) vs Prati Madhyamam (Ma2)?","36 each — the first 36 use Ma1, the last 36 use Ma2","48 use Ma1 and 24 use Ma2","All 72 can use both","60 use Ma1 and 12 use Ma2","Carnatic Theory","indian_classical","advanced","36 each — the first 36 use Ma1, the last 36 use Ma2.","",""
"gen-indian-carnatic-theory-070","70","What is a 'Chakra' in the melakarta classification?","A group of 6 consecutive melakartas that share the same combination of Ri and Ga swaras","A circular diagram of all 72 ragas","A type of rhythmic cycle","A group of ragas played at the same time of day","Carnatic Theory","indian_classical","advanced","A group of 6 consecutive melakartas that share the same combination of Ri and Ga swaras.","",""
"gen-indian-carnatic-theory-071","71","How many Chakras are there in the Melakarta system?","12 (6 for Ma1 ragas + 6 for Ma2 ragas)","6","72","22","Carnatic Theory","indian_classical","advanced","12 (6 for Ma1 ragas + 6 for Ma2 ragas).","",""
"gen-indian-carnatic-theory-072","72","What does 'Sampurna raga' mean?","A raga that uses all 7 swaras in both ascending and descending scales","A raga with only 5 swaras","A raga played only during festivals","A raga that must begin on Sa","Carnatic Theory","indian_classical","advanced","A raga that uses all 7 swaras in both ascending and descending scales.","",""
"gen-indian-carnatic-theory-073","73","What is an 'Audava' raga?","A raga that uses only 5 swaras (pentatonic)","A raga that uses all 7 swaras","A raga that uses 6 swaras","A raga with zigzag phrases","Carnatic Theory","indian_classical","advanced","A raga that uses only 5 swaras (pentatonic).","",""
"gen-indian-carnatic-theory-074","74","What is a 'Shadava' raga?","A raga that uses 6 swaras (hexatonic)","A raga that uses 5 swaras","A raga that uses all 7 swaras","A raga with irregular ascending pattern","Carnatic Theory","indian_classical","advanced","A raga that uses 6 swaras (hexatonic).","",""
"gen-indian-carnatic-theory-075","75","What is a 'Vakra' raga?","A raga with zigzag or non-linear swara movement in its arohana or avarohana","A raga with exactly 5 swaras","A raga associated with dance","A raga that uses only flat swaras","Carnatic Theory","indian_classical","advanced","A raga with zigzag or non-linear swara movement in its arohana or avarohana.","",""
"gen-indian-carnatic-theory-076","76","What is 'Manodharma Sangeetam' in Carnatic music?","The art of improvisation, including alapana, neraval, kalpanaswaram, and ragam-tanam-pallavi","A fixed composition form","A method of music notation","A type of percussion technique","Carnatic Theory","indian_classical","intermediate","The art of improvisation, including alapana, neraval, kalpanaswaram, and ragam-tanam-pallavi","",""
"gen-indian-carnatic-theory-077","77","What is the difference between 'Arohana' and 'Avarohana'?","Arohana is the ascending scale pattern; Avarohana is the descending scale pattern of a raga","They are both types of gamakas","Arohana is slow tempo; Avarohana is fast tempo","They refer to upper and lower octaves","Carnatic Theory","indian_classical","beginner","Arohana is the ascending scale pattern; Avarohana is the descending scale pattern of a raga","",""
"gen-indian-carnatic-theory-078","78","What is 'Tara Sthayi' in Carnatic music?","The upper (high) octave register","The lower octave register","The middle octave register","A type of gamaka","Carnatic Theory","indian_classical","beginner","The upper (high) octave register","",""
"gen-indian-carnatic-theory-079","79","What does 'Mandra Sthayi' refer to?","The lower octave register","The upper octave register","The middle octave register","A rhythmic term","Carnatic Theory","indian_classical","beginner","The lower octave register","",""
"gen-indian-carnatic-theory-080","80","What is the role of 'gamakas' in Carnatic music?","They are essential ornaments that give life to the swaras and are integral to raga expression","They are optional decorations","They are rhythmic patterns on mridangam","They are types of compositions","Carnatic Theory","indian_classical","intermediate","They are essential ornaments that give life to the swaras and are integral to raga expression","",""
"gen-indian-carnatic-theory-081","81","In the Carnatic system, which swara variants share the same pitch position (enharmonic)?","Ri2=Ga1, Ri3=Ga2, Da2=Ni1, Da3=Ni2","Sa=Pa","Ma1=Ma2","Ri1=Ni3","Carnatic Theory","indian_classical","advanced","Ri2=Ga1, Ri3=Ga2, Da2=Ni1, Da3=Ni2","",""
"gen-indian-carnatic-theory-082","82","What is 'Bhashanga Raga' in Carnatic music?","A janya raga that borrows one or two foreign swaras not present in its parent melakarta","A raga with all 7 swaras","A raga with only 5 swaras","A raga used only in dance","Carnatic Theory","indian_classical","advanced","A janya raga that borrows one or two foreign swaras not present in its parent melakarta","",""
"gen-indian-carnatic-ragas-001","1","Which melakarta raga is number 15 in the Carnatic system?","Mayamalavagowla","Navaneetham","Gavambodhi","Kokilapriya","Carnatic Ragas","indian_classical","beginner","Melakarta raga #15 is Mayamalavagowla with swaras: Sa Ri1 Ga3 Ma1 Pa Da1 Ni3.","",""
"gen-indian-carnatic-ragas-002","2","Which melakarta raga is number 29 in the Carnatic system?","Dheerasankarabharanam","Senavati","Simhendramadhyamam","Gangeyabhushani","Carnatic Ragas","indian_classical","beginner","Melakarta raga #29 is Dheerasankarabharanam with swaras: Sa Ri2 Ga3 Ma1 Pa Da2 Ni3.","",""
"gen-indian-carnatic-ragas-003","3","Which melakarta raga is number 22 in the Carnatic system?","Kharaharapriya","Tanarupi","Ramapriya","Mayamalavagowla","Carnatic Ragas","indian_classical","beginner","Melakarta raga #22 is Kharaharapriya with swaras: Sa Ri2 Ga2 Ma1 Pa Da2 Ni2.","",""
"gen-indian-carnatic-ragas-004","4","Which melakarta raga is number 28 in the Carnatic system?","Harikambhoji","Chitrambari","Vanaspati","Kanakangi","Carnatic Ragas","indian_classical","beginner","Melakarta raga #28 is Harikambhoji with swaras: Sa Ri2 Ga3 Ma1 Pa Da2 Ni2.","",""
"gen-indian-carnatic-ragas-005","5","Which melakarta raga is number 65 in the Carnatic system?","Mechakalyani","Pavani","Ganamurthi","Chakravakam","Carnatic Ragas","indian_classical","beginner","Melakarta raga #65 is Mechakalyani with swaras: Sa Ri2 Ga3 Ma2 Pa Da2 Ni3.","",""
"gen-indian-carnatic-ragas-006","6","Which melakarta raga is number 20 in the Carnatic system?","Natabhairavi","Shubhapantuvarali","Ratnangi","Hatakambari","Carnatic Ragas","indian_classical","beginner","Melakarta raga #20 is Natabhairavi with swaras: Sa Ri2 Ga2 Ma1 Pa Da1 Ni2.","",""
"gen-indian-carnatic-ragas-007","7","Which melakarta raga is number 8 in the Carnatic system?","Hanumathodi","Salagam","Shoolini","Naganandini","Carnatic Ragas","indian_classical","beginner","Melakarta raga #8 is Hanumathodi with swaras: Sa Ri1 Ga2 Ma1 Pa Da1 Ni2.","",""
"gen-indian-carnatic-ragas-008","8","Which melakarta raga is number 56 in the Carnatic system?","Shanmukhapriya","Latangi","Hanumathodi","Vakulabharanam","Carnatic Ragas","indian_classical","beginner","Melakarta raga #56 is Shanmukhapriya with swaras: Sa Ri2 Ga2 Ma2 Pa Da1 Ni2.","",""
"gen-indian-carnatic-ragas-009","9","Which melakarta raga is the parent of the janya raga ""Mohanam""?","Harikambhoji","Latangi","Navaneetham","Suvarnangi","Carnatic Ragas","indian_classical","intermediate","Mohanam is a janya (derived) raga of Harikambhoji (Melakarta #28).","",""
"gen-indian-carnatic-ragas-010","10","Which melakarta raga is the parent of the janya raga ""Hamsadhwani""?","Mechakalyani","Kosalam","Jyotiswarupini","Vanaspati","Carnatic Ragas","indian_classical","intermediate","Hamsadhwani is a janya (derived) raga of Mechakalyani (Melakarta #65).","",""
"gen-indian-carnatic-ragas-011","11","Which melakarta raga is the parent of the janya raga ""Kalyani""?","Mechakalyani","Salagam","Harikambhoji","Kharaharapriya","Carnatic Ragas","indian_classical","intermediate","Kalyani is a janya (derived) raga of Mechakalyani (Melakarta #65).","",""
"gen-indian-carnatic-ragas-012","12","Which melakarta raga is the parent of the janya raga ""Shankarabharanam""?","Dheerasankarabharanam","Chakravakam","Shoolini","Varunapriya","Carnatic Ragas","indian_classical","intermediate","Shankarabharanam is a janya (derived) raga of Dheerasankarabharanam (Melakarta #29).","",""
"gen-indian-carnatic-ragas-013","13","Which melakarta raga is the parent of the janya raga ""Todi""?","Hanumathodi","Senavati","Chakravakam","Kanakangi","Carnatic Ragas","indian_classical","intermediate","Todi is a janya (derived) raga of Hanumathodi (Melakarta #8).","",""
"gen-indian-carnatic-ragas-014","14","Which melakarta raga is the parent of the janya raga ""Bhairavi""?","Natabhairavi","Vishwambhari","Raghupriya","Dhavalambari","Carnatic Ragas","indian_classical","intermediate","Bhairavi is a janya (derived) raga of Natabhairavi (Melakarta #20).","",""
"gen-indian-carnatic-ragas-015","15","Which melakarta raga is the parent of the janya raga ""Kambhoji""?","Harikambhoji","Kanakangi","Gayakapriya","Ramapriya","Carnatic Ragas","indian_classical","intermediate","Kambhoji is a janya (derived) raga of Harikambhoji (Melakarta #28).","",""
