"set_id","question_number","question_text","correct_answer","wrong_answer_1","wrong_answer_2","wrong_answer_3","category","quiz_type","difficulty","explanation","improvement_note","youtube_title","sources_and_notes","","","","","","","","","",""
"theory-scales-001","11","What is a tetrachord?","A group of 4 consecutive scale notes spanning a perfect 4th","A 4-note chord","A 4-beat rhythmic pattern","A scale with exactly 4 notes","Scales & Modes","music_theory","beginner","A major scale can be split into two identical tetrachords (W-W-H), each spanning a perfect 4th. E.g. C major: [C D E F] + [G A B C]. This tetrachord relationship connects adjacent keys on the circle of fifths.","Show on a piano keyboard diagram with scale degrees marked and half steps indicated. Have students sing the scale on solfège (Do-Re-Mi).","","Alfred's Essentials of Music Theory, Books 1-2. ABRSM Theory Grade 1-3. Practice: sing scales on solfège (Do-Re-Mi). Tenuto app (musictheory.net) — scale exercises.","","","","","","","","","",""
"theory-scales-001","12","How many sharps does G major have?","1 (F#)","2","0","3","Scales & Modes","music_theory","beginner","G major has one sharp: F#. The scale is G A B C D E F# G. Without F#, there would be a whole step between the 6th and 7th degrees (E-F) instead of the required half step.","Include a real song example: identify a well-known melody that uses this scale and point out where the scale notes appear.","","Hal Leonard Music Theory Workbook, Level 1. ABRSM Grade 2-3. Recommended: Adam Neely YouTube — scale fundamentals. Practice all scales from C, G, F, D, A, E.","","","","","","","","","",""
"theory-scales-001","13","What is the melodic minor scale?","A scale that raises both the 6th and 7th degrees ascending, and returns to natural minor descending","A scale that only raises the 7th degree","A scale identical to harmonic minor","A major scale with a ♭3","Scales & Modes","music_theory","beginner","The melodic minor (classical form) raises both the 6th and 7th degrees ascending (to smooth over the augmented 2nd of harmonic minor), then reverts to natural minor descending. In jazz, the ascending form is used in both directions.","Add a practical exercise: write out this scale from three different root notes (C, G, F) to reinforce the interval pattern.","","Music Theory for Beginners (Robert Wallis, Rockschool). ABRSM Grade 2-4 scale requirements. Alfred's Music Theory Workbook.","","","","","","","","","",""
"theory-intervals-001","1","How many semitones are in a perfect 5th?","7","5","6","8","Intervals","music_theory","beginner","A perfect 5th spans 7 semitones. C to G: C-C#-D-D#-E-F-F#-G = 7 half steps. The perfect 5th is one of the most consonant intervals and is the basis of the circle of fifths.","Add a melodic memory hook: identify the opening interval of a famous melody to anchor the sound in the ear (e.g., P5 = Star Wars theme).","","Alfred's Essentials of Music Theory, Book 1. ABRSM Theory Grade 1-2. Tenuto app — interval identification exercises. Melodic hooks: 'Happy Birthday' = M2, 'Twinkle Twinkle' = P5.","","","","","","","","","",""
"theory-intervals-001","2","What interval spans exactly one half step?","Minor 2nd","Major 2nd","Perfect unison","Diminished 3rd","Intervals","music_theory","beginner","A minor 2nd (m2) is the smallest standard interval, spanning 1 semitone (e.g. C to C# or E to F). It creates strong dissonance and tension.","Include a keyboard visual: highlight both notes on a one-octave piano diagram so students can see the span clearly.","","Paul Hindemith, Elementary Training for Musicians (Schott). ABRSM Grade 2-3. Interval memory hooks: P5 = 'Star Wars,' M3 = 'When the Saints,' m3 = 'Greensleeves.'","","","","","","","","","",""
"theory-intervals-001","3","What is a tritone?","An interval of 3 whole steps (6 semitones), also called an augmented 4th or diminished 5th","An interval of 3 half steps","A chord built in 3rds","A scale with 3 modes","Intervals","music_theory","beginner","The tritone divides the octave exactly in half at 6 semitones. It can be written as an augmented 4th (C to F#) or diminished 5th (C to G♭). Historically called 'diabolus in musica' for its extreme dissonance.","Add a singing exercise: have students sing this interval both ascending and descending to develop active aural recognition.","","Hal Leonard Essential Music Theory, Level 1. ABRSM Grade 2-3. EarMaster 7 app for interval drilling with instant feedback and progress tracking.","","","","","","","","","",""
"theory-intervals-001","4","What is the inversion of a major 3rd?","Minor 6th","Major 6th","Minor 3rd","Perfect 5th","Intervals","music_theory","beginner","To invert a simple interval, subtract from 9: 9 - 3 = 6. Major inverts to minor, so a major 3rd (4 semitones) inverts to a minor 6th (8 semitones). Inverted intervals always sum to an octave (12 semitones).","Include a half-step counting exercise: ask students to count the semitones between two note pairs and name the interval.","","Music Theory Workbook (Gary Ewer, Easy Music Theory). Practice both ascending and descending versions. EarMaster 7 or Perfect Ear app.","","","","","","","","","",""
"theory-intervals-001","5","How many semitones are in a major 2nd?","2","1","3","4","Intervals","music_theory","beginner","A major 2nd spans 2 semitones (a whole step), e.g. C to D. It's the most common step size in major and minor scales, occurring 5 times in a major scale.","Connect to chords: explain which chord this interval most prominently defines (e.g., minor 3rd = root to 3rd of any minor chord).","","Alfred's Essentials of Music Theory. ABRSM Grade 1-3. Teach intervals through singing: major scale = series of M2 intervals with two M3 intervals (1-3 and 5-7).","","","","","","","","","",""
"theory-intervals-001","6","What is the interval from C to E?","Major 3rd","Minor 3rd","Perfect 4th","Major 2nd","Intervals","music_theory","beginner","C to E spans 4 semitones (C-C#-D-D#-E), which is a major 3rd (M3). Major 3rds give major chords and scales their characteristic bright, happy quality.","Add a melodic memory hook: identify the opening interval of a famous melody to anchor the sound in the ear (e.g., P5 = Star Wars theme).","","Alfred's Essentials of Music Theory, Book 1. ABRSM Theory Grade 1-2. Tenuto app — interval identification exercises. Melodic hooks: 'Happy Birthday' = M2, 'Twinkle Twinkle' = P5.","","","","","","","","","",""
"theory-intervals-001","7","What is a 'compound interval'?","An interval larger than an octave","An interval made of two different notes played together","A chord with 3 notes","An interval smaller than a perfect 5th","Intervals","music_theory","beginner","Compound intervals exceed one octave. A major 9th (e.g. C to D an octave above) is a compound version of a major 2nd. To find the simple equivalent, subtract 7 from the compound interval number.","Include a keyboard visual: highlight both notes on a one-octave piano diagram so students can see the span clearly.","","Paul Hindemith, Elementary Training for Musicians (Schott). ABRSM Grade 2-3. Interval memory hooks: P5 = 'Star Wars,' M3 = 'When the Saints,' m3 = 'Greensleeves.'","","","","","","","","","",""
"theory-intervals-001","8","What is an enharmonic equivalent?","Two notes that sound the same but are written differently (e.g. F# and G♭)","Two notes that are an octave apart","Two notes with the same letter name","An interval that inverts to itself","Intervals","music_theory","beginner","Enharmonic notes share the same pitch but have different names and spellings. F# and G♭ are the same key on a piano but are notated differently depending on the key or harmonic context.","Add a singing exercise: have students sing this interval both ascending and descending to develop active aural recognition.","","Hal Leonard Essential Music Theory, Level 1. ABRSM Grade 2-3. EarMaster 7 app for interval drilling with instant feedback and progress tracking.","","","","","","","","","",""
"theory-intervals-001","9","What is the interval from C to G♭?","Diminished 5th","Augmented 4th","Perfect 5th","Minor 5th","Intervals","music_theory","beginner","C to G is a perfect 5th (7 semitones). Lowering G to G♭ reduces this by one semitone to 6, creating a diminished 5th. Note: a diminished 5th and augmented 4th are enharmonically the same (both 6 semitones) but are spelled differently.","Include a half-step counting exercise: ask students to count the semitones between two note pairs and name the interval.","","Music Theory Workbook (Gary Ewer, Easy Music Theory). Practice both ascending and descending versions. EarMaster 7 or Perfect Ear app.","","","","","","","","","",""
"theory-intervals-001","10","How many semitones are in a major 7th?","11","10","12","9","Intervals","music_theory","beginner","A major 7th spans 11 semitones, one half step below an octave (C to B). It creates a bright tension that wants to resolve up to the octave. This is the interval that gives maj7 chords their characteristic dreamy sound.","Connect to chords: explain which chord this interval most prominently defines (e.g., minor 3rd = root to 3rd of any minor chord).","","Alfred's Essentials of Music Theory. ABRSM Grade 1-3. Teach intervals through singing: major scale = series of M2 intervals with two M3 intervals (1-3 and 5-7).","","","","","","","","","",""
"theory-intervals-001","11","What is the inversion of a perfect 4th?","Perfect 5th","Perfect 4th","Major 6th","Minor 5th","Intervals","music_theory","beginner","A perfect 4th (5 semitones) inverts to a perfect 5th (7 semitones). 9 - 4 = 5, and perfect inverts to perfect. Together they sum to an octave: 5 + 7 = 12 semitones.","Add a melodic memory hook: identify the opening interval of a famous melody to anchor the sound in the ear (e.g., P5 = Star Wars theme).","","Alfred's Essentials of Music Theory, Book 1. ABRSM Theory Grade 1-2. Tenuto app — interval identification exercises. Melodic hooks: 'Happy Birthday' = M2, 'Twinkle Twinkle' = P5.","","","","","","","","","",""
"theory-intervals-001","12","How many semitones are in a minor 3rd?","3","2","4","5","Intervals","music_theory","beginner","A minor 3rd spans 3 semitones, e.g. C to E♭. It's the defining interval of minor chords and scales. The difference between a major and minor chord is one note: the major 3rd (4 semitones) vs. minor 3rd (3 semitones).","Include a keyboard visual: highlight both notes on a one-octave piano diagram so students can see the span clearly.","","Paul Hindemith, Elementary Training for Musicians (Schott). ABRSM Grade 2-3. Interval memory hooks: P5 = 'Star Wars,' M3 = 'When the Saints,' m3 = 'Greensleeves.'","","","","","","","","","",""
"theory-chords-001","1","What notes make up a C major triad?","C E G","C E♭ G","C E G#","C F G","Chord Theory","music_theory","beginner","A major triad is built with a major 3rd then a minor 3rd above the root: C (root) + E (major 3rd, 4 semitones) + G (minor 3rd above E, 3 semitones). Total: root, M3, P5.","Show on both piano and guitar with a chord diagram. Include a pop or rock song where this chord type is central to the progression.","","Alfred's Essentials of Music Theory, Books 1-2. ABRSM Grade 3-4. Hal Leonard Chord Theory for Guitarists. Practice: build each triad type from C, G, F, D, Bb.","","","","","","","","","",""
"theory-chords-001","2","What makes a chord 'diminished'?","A minor 3rd and diminished 5th — two stacked minor 3rds","A major 3rd and a diminished 5th","It has all minor intervals","It is missing the 5th","Chord Theory","music_theory","beginner","A diminished triad (e.g. B D F) has a root, minor 3rd (3 semitones), and diminished 5th (6 semitones). It can be seen as two stacked minor 3rds. It has a very tense, unstable sound.","Add a voice leading note: which note resolves and where does it go when this chord moves to the next chord in a typical progression?","","Music Theory for Guitarists (Tom Kolb, Hal Leonard). Piano chord charts: Alfred's Piano Encyclopedia. ABRSM Grade 3-4 chord construction.","","","","","","","","","",""
"theory-chords-001","3","What is a dominant 7th chord?","A major triad with a minor 7th added (e.g. G7 = G B D F)","A major triad with a major 7th added","A minor triad with a minor 7th","A diminished triad with a 7th added","Chord Theory","music_theory","beginner","The dominant 7th chord (e.g. G7 = G B D F) is built on the 5th scale degree. Its major triad + minor 7th creates strong tension that pulls toward the tonic. It's the most tension-generating chord in tonal music.","Include a construction exercise: build this chord type from roots C, G, D, and F using the interval formula as a guide.","","Mark Levine, The Jazz Theory Book, Ch. 1-3 (introductory chord section). Hal Leonard Music Theory Workbook. Recommended: chordie.com for chord diagrams.","","","","","","","","","",""
"theory-chords-001","4","What is a major 7th chord?","A major triad with a major 7th added (e.g. Cmaj7 = C E G B)","A major triad with a minor 7th added","A dominant 7th chord","A minor triad with a major 7th","Chord Theory","music_theory","beginner","Cmaj7 = C E G B. The major 7th (B) sits a half step below the octave, giving the chord a warm, lush quality. It differs from G7 (dominant 7th) which uses a ♭7.","Add a listening exercise: play a I-IV-V-I and ask students to identify which chord is this type by ear before checking.","","Alfred's Essentials of Music Theory. ABRSM Grade 3. Tenuto app — chord identification exercises. Teach chords by building them on piano from known notes.","","","","","","","","","",""
"theory-chords-001","5","What are the 4 basic triad types?","Major, minor, diminished, augmented","Major, minor, dominant, suspended","Major, minor, diminished, half-diminished","Perfect, major, minor, diminished","Chord Theory","music_theory","beginner","The four triads are: major (M3+m3=P5), minor (m3+M3=P5), diminished (m3+m3=d5), and augmented (M3+M3=A5). All other chords are extensions or alterations of these.","Connect to a real musical moment: name a classic song intro or chorus that opens with this specific chord type.","","Hal Leonard Essential Music Theory. ABRSM Grade 3-4. Recommended YouTube: Ben Levin — chord theory for beginners.","","","","","","","","","",""
"theory-chords-001","6","What does 'chord inversion' mean?","A chord where a note other than the root is in the bass","Playing a chord backwards","Playing a chord in a different octave","Changing the chord quality","Chord Theory","music_theory","beginner","A chord is in first inversion when the 3rd is in the bass (e.g. C/E = C major with E bass), second inversion when the 5th is in the bass (C/G). Inversions create smoother bass lines and different voicing colours.","Show on both piano and guitar with a chord diagram. Include a pop or rock song where this chord type is central to the progression.","","Alfred's Essentials of Music Theory, Books 1-2. ABRSM Grade 3-4. Hal Leonard Chord Theory for Guitarists. Practice: build each triad type from C, G, F, D, Bb.","","","","","","","","","",""
"theory-chords-001","7","What is a sus4 chord?","A chord where the 3rd is replaced by a perfect 4th","A chord with an added 4th alongside the 3rd","A chord suspended on beat 4","A chord missing the 5th","Chord Theory","music_theory","beginner","In a sus4 chord (e.g. Csus4 = C F G), the major or minor 3rd is replaced by a perfect 4th. The suspended 4th creates tension that typically resolves down to the 3rd, giving a characteristic 'pull and release' effect.","Add a voice leading note: which note resolves and where does it go when this chord moves to the next chord in a typical progression?","","Music Theory for Guitarists (Tom Kolb, Hal Leonard). Piano chord charts: Alfred's Piano Encyclopedia. ABRSM Grade 3-4 chord construction.","","","","","","","","","",""
"theory-chords-001","8","What is an augmented triad?","A chord with a root, major 3rd, and augmented 5th (two stacked major 3rds)","A major triad raised by a half step","A chord with a root, major 3rd, and major 6th","A major triad with an added sharp","Chord Theory","music_theory","beginner","An augmented triad (e.g. C+ = C E G#) has two stacked major 3rds. Its symmetrical structure gives it an eerie, unstable sound. It appears naturally on the 3rd degree of the harmonic minor scale.","Include a construction exercise: build this chord type from roots C, G, D, and F using the interval formula as a guide.","","Mark Levine, The Jazz Theory Book, Ch. 1-3 (introductory chord section). Hal Leonard Music Theory Workbook. Recommended: chordie.com for chord diagrams.","","","","","","","","","",""
"theory-chords-001","9","What is the symbol for a minor 7th chord?","m7 (e.g. Dm7)","maj7","7 (e.g. D7)","dim7","Chord Theory","music_theory","beginner","A minor 7th chord (m7) has a minor triad plus a minor 7th. Dm7 = D F A C. It's one of the most common chords in jazz and pop, and acts as the ii chord in ii-V-I progressions.","Add a listening exercise: play a I-IV-V-I and ask students to identify which chord is this type by ear before checking.","","Alfred's Essentials of Music Theory. ABRSM Grade 3. Tenuto app — chord identification exercises. Teach chords by building them on piano from known notes.","","","","","","","","","",""
"theory-chords-001","10","Which chord type is found on the 7th degree of a major scale?","Half-diminished (m7♭5)","Diminished triad","Diminished 7th","Minor 7th","Chord Theory","music_theory","beginner","The 7th degree chord in a major scale (e.g. Bm7♭5 in C major) has a minor 3rd, diminished 5th, and minor 7th — making it half-diminished. It's also written as ø7, and acts as a pre-dominant chord in minor keys.","Connect to a real musical moment: name a classic song intro or chorus that opens with this specific chord type.","","Hal Leonard Essential Music Theory. ABRSM Grade 3-4. Recommended YouTube: Ben Levin — chord theory for beginners.","","","","","","","","","",""
"theory-chords-001","11","What does 'add9' mean in a chord symbol like Cadd9?","Add the 9th (2nd) to the triad without including the 7th","Add a 9th and 7th","Raise the 5th by a step","Play the chord 9 frets higher","Chord Theory","music_theory","beginner","Cadd9 = C E G D. The 'add' means the 9th is added directly to the triad without a 7th. This differs from Cmaj9 (which includes the 7th: C E G B D). Add9 chords are common in pop and gospel.","Show on both piano and guitar with a chord diagram. Include a pop or rock song where this chord type is central to the progression.","","Alfred's Essentials of Music Theory, Books 1-2. ABRSM Grade 3-4. Hal Leonard Chord Theory for Guitarists. Practice: build each triad type from C, G, F, D, Bb.","","","","","","","","","",""
"theory-chords-001","12","What is a slash chord (e.g. G/B)?","A chord over a specific bass note different from the root","A chord played very quickly","A chord written across two bars","A chord with a diminished quality","Chord Theory","music_theory","beginner","G/B means a G major chord with B in the bass — this is a first inversion G chord. Slash chords are used to create smooth bass lines or specific voicings. They're very common in pop, gospel, and jazz.","Add a voice leading note: which note resolves and where does it go when this chord moves to the next chord in a typical progression?","","Music Theory for Guitarists (Tom Kolb, Hal Leonard). Piano chord charts: Alfred's Piano Encyclopedia. ABRSM Grade 3-4 chord construction.","","","","","","","","","",""
"theory-chords-001","13","How many notes are in a triad?","3","4","5","2","Chord Theory","music_theory","beginner","Tri' means three — a triad has root, 3rd, and 5th. Adding a 7th makes it a 7th chord (4 notes). Adding the 9th makes it a 9th chord (5 notes), and so on for extended chords.","Include a construction exercise: build this chord type from roots C, G, D, and F using the interval formula as a guide.","","Mark Levine, The Jazz Theory Book, Ch. 1-3 (introductory chord section). Hal Leonard Music Theory Workbook. Recommended: chordie.com for chord diagrams.","","","","","","","","","",""
"theory-harmony-001","1","What does Roman numeral 'I' indicate in music theory?","The chord built on the 1st degree (tonic) of the scale","The first inversion of a chord","A chord played once","The interval of a unison","Harmony & Voice Leading","music_theory","beginner","Roman numerals represent chords by scale degree. Uppercase = major (I, IV, V), lowercase = minor (ii, iii, vi). In C major, I = C major, ii = D minor, V = G major. This allows analysis independent of specific key.","Add a visual example: show this concept in standard notation in C major with all four voices (SATB) written out correctly.","","Stefan Kostka & Dorothy Payne, Tonal Harmony, 8th ed. (McGraw-Hill). Alfred's Essentials of Music Theory, Book 3. ABRSM Grade 4-5.","","","","","","","","","",""
"theory-harmony-001","2","What is a perfect authentic cadence?","V resolving to I, both in root position, with the tonic in the soprano","Any V-I progression","IV-I (plagal cadence)","A cadence ending on a minor chord","Harmony & Voice Leading","music_theory","beginner","The perfect authentic cadence (PAC) is the strongest possible cadence: V to I, both in root position, tonic note in the top voice. It gives a definitive, conclusive sense of ending.","Include a singing exercise: have students sing the soprano and bass lines of this progression to physically feel the resolution.","","Walter Piston, Harmony, 5th ed. (Norton). ABRSM Theory Grade 4-5. Practice: play each cadence type on piano, singing the soprano voice above it.","","","","","","","","","",""
"theory-harmony-001","3","What is a plagal cadence?","IV resolving to I (also called the 'Amen cadence')","V-I","ii-V","I-IV","Harmony & Voice Leading","music_theory","beginner","The plagal cadence (IV-I) has a softer, more settled quality than the authentic cadence. It's often called the 'Amen cadence' because it's used at the end of hymns. In C major: F major → C major.","Add a real-world example: identify a specific song, hymn, or jingle where this cadence or harmonic device is clearly audible.","","Steven Laitz, The Complete Musician, 4th ed. (Oxford). ABRSM Grade 4-5. Recommended YouTube: Adam Neely — 'Why the V-I resolution works.'","","","","","","","","","",""
"theory-harmony-001","4","What is a deceptive cadence?","V resolving to vi instead of the expected I","I-IV","A cadence that goes to the wrong key","V-IV","Harmony & Voice Leading","music_theory","beginner","In a deceptive cadence, the V chord resolves 'deceptively' to vi instead of I. In C major: G7 → Am. The listener expects resolution to C but gets Am instead — surprising but still consonant.","Include a Roman numeral labeling exercise: give students an unmarked passage and ask them to identify each chord by function.","","Aldwell, Schachter & Cadwallader, Harmony and Voice Leading, 4th ed. (Cengage). ABRSM Grade 5. Identify cadences in familiar hymns and folk songs.","","","","","","","","","",""
"theory-harmony-001","5","What is a half cadence?","A phrase ending on the V chord (creates an open, questioning feeling)","A cadence using half notes only","A cadence lasting exactly 2 beats","IV-I","Harmony & Voice Leading","music_theory","beginner","A half cadence ends on V without resolving to I, creating an open, questioning feeling — like a musical comma. It typically appears at the end of an antecedent (question) phrase, expecting a consequent (answer) to follow.","Add a play-along exercise: have students play this progression on piano using block chords, then try it in two other keys.","","Alfred's Essentials of Music Theory, Book 2-3. Harmony workbook (Stefan Kostka). ABRSM Grade 4. Play cadences in multiple keys to build physical memory.","","","","","","","","","",""
"theory-harmony-001","6","In a ii-V-I progression in C major, what are the chords?","Dm7 – G7 – Cmaj7","Em7 – Am7 – Cmaj7","Dm – G – C","Dm7 – G7 – C7","Harmony & Voice Leading","music_theory","beginner","In C major: ii = Dm7, V = G7, I = Cmaj7. This is the most fundamental chord progression in jazz. The ii prepares the V, which creates tension that resolves to I. Found in virtually every jazz standard.","Add a visual example: show this concept in standard notation in C major with all four voices (SATB) written out correctly.","","Stefan Kostka & Dorothy Payne, Tonal Harmony, 8th ed. (McGraw-Hill). Alfred's Essentials of Music Theory, Book 3. ABRSM Grade 4-5.","","","","","","","","","",""
"theory-harmony-001","7","What is the 'dominant' in a key?","The 5th degree of the scale and its chord","The loudest chord in a progression","The 4th degree","The leading tone","Harmony & Voice Leading","music_theory","beginner","The dominant (V) is the chord built on the 5th degree of the scale. In C major, V = G (or G7). The dominant creates strong tension through its tritone (F and B in G7) that pulls toward resolution on I.","Include a singing exercise: have students sing the soprano and bass lines of this progression to physically feel the resolution.","","Walter Piston, Harmony, 5th ed. (Norton). ABRSM Theory Grade 4-5. Practice: play each cadence type on piano, singing the soprano voice above it.","","","","","","","","","",""
"theory-harmony-001","8","What is the 'subdominant'?","The 4th degree of the scale and its chord","The 5th degree","The note below the dominant","The 6th degree","Harmony & Voice Leading","music_theory","beginner","The subdominant (IV) is the chord built on the 4th degree. In C major, IV = F major. It's called 'subdominant' because it lies a perfect 5th below the tonic — symmetrically opposite to the dominant (a 5th above).","Add a real-world example: identify a specific song, hymn, or jingle where this cadence or harmonic device is clearly audible.","","Steven Laitz, The Complete Musician, 4th ed. (Oxford). ABRSM Grade 4-5. Recommended YouTube: Adam Neely — 'Why the V-I resolution works.'","","","","","","","","","",""
"theory-harmony-001","9","What is 'voice leading'?","The smooth movement of individual melodic lines within a chord progression","Adding vocal harmonies to a melody","Writing lyrics for chords","The register of a singer","Harmony & Voice Leading","music_theory","beginner","Voice leading describes how each individual voice (soprano, alto, tenor, bass) moves from chord to chord. Good voice leading favors step-wise motion and avoids parallel perfect 5ths or octaves between outer voices.","Include a Roman numeral labeling exercise: give students an unmarked passage and ask them to identify each chord by function.","","Aldwell, Schachter & Cadwallader, Harmony and Voice Leading, 4th ed. (Cengage). ABRSM Grade 5. Identify cadences in familiar hymns and folk songs.","","","","","","","","","",""
"theory-harmony-001","10","What is a 'secondary dominant'?","A dominant 7th chord that resolves to a chord other than I (e.g. V/V resolves to V)","Any chord on the 5th degree","A chord borrowed from the parallel minor","A chord that appears twice in a progression","Harmony & Voice Leading","music_theory","beginner","Secondary dominants temporarily tonicize non-tonic chords. V/V (five of five) is the most common — in C major, V/V = D7, which resolves to G (V). They add chromatic color and harmonic momentum.","Add a play-along exercise: have students play this progression on piano using block chords, then try it in two other keys.","","Alfred's Essentials of Music Theory, Book 2-3. Harmony workbook (Stefan Kostka). ABRSM Grade 4. Play cadences in multiple keys to build physical memory.","","","","","","","","","",""
"theory-harmony-001","11","What is 'modulation'?","A key change within a piece of music","A dynamic change","A tempo change","Playing the same notes in a different octave","Harmony & Voice Leading","music_theory","beginner","Modulation is the process of moving from one key to another within a piece. The most common modulation is to the dominant key (e.g. C major to G major). Modulations can be brief (tonicization) or long-term.","Add a visual example: show this concept in standard notation in C major with all four voices (SATB) written out correctly.","","Stefan Kostka & Dorothy Payne, Tonal Harmony, 8th ed. (McGraw-Hill). Alfred's Essentials of Music Theory, Book 3. ABRSM Grade 4-5.","","","","","","","","","",""
